EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
9.000,2019-09-01 08:00:00,3.105,33.808,50.316,8
8.000,2019-09-01 09:00:00,1.211,34.904,47.947,9
7.000,2019-09-01 10:00:00,1.650,34.901,48.700,10
4.000,2019-09-01 11:00:00,1.450,34.412,50.250,11
8.000,2019-09-01 16:00:00,1.632,30.406,59.211,16
9.000,2019-09-01 17:00:00,2.850,29.798,61.950,17
5.000,2019-09-01 18:00:00,4.150,29.216,63.500,18
6.000,2019-09-01 19:00:00,26.150,28.593,65.800,19
13.000,2019-09-01 20:00:00,4.158,28.761,65.211,20
12.000,2019-09-01 21:00:00,2.600,28.690,65.200,21
7.000,2019-09-01 22:00:00,1.947,28.523,65.105,22
6.000,2019-09-01 23:00:00,3.550,28.561,64.450,23
5.000,2019-09-02 00:00:00,14.050,28.123,66.800,0
5.000,2019-09-02 01:00:00,33.650,27.017,72.150,1
16.000,2019-09-02 02:00:00,34.263,26.821,72.526,2
20.000,2019-09-02 03:00:00,33.158,27.030,72.105,3
17.000,2019-09-02 04:00:00,32.650,27.591,70.800,4
18.000,2019-09-02 05:00:00,31.105,26.925,73.053,5
18.000,2019-09-02 06:00:00,22.105,28.934,67.053,6
15.000,2019-09-02 07:00:00,6.650,31.482,58.400,7
10.000,2019-09-02 08:00:00,6.700,31.869,57.150,8
10.000,2019-09-02 09:00:00,5.421,32.935,54.316,9
9.000,2019-09-02 10:00:00,3.850,34.080,50.500,10
9.000,2019-09-02 12:00:00,2.842,35.309,48.474,12
4.000,2019-09-02 18:00:00,5.450,29.805,62.100,18
6.000,2019-09-02 19:00:00,4.471,29.109,63.941,19
7.000,2019-09-02 20:00:00,3.400,28.933,63.700,20
5.000,2019-09-02 21:00:00,1.950,28.532,63.650,21
2.000,2019-09-02 22:00:00,1.450,28.431,62.850,22
2.000,2019-09-03 00:00:00,1.850,28.331,62.450,0
6.000,2019-09-03 01:00:00,1.947,28.458,62.105,1
7.000,2019-09-03 02:00:00,3.684,28.252,63.105,2
4.000,2019-09-03 03:00:00,3.200,27.711,65.800,3
3.000,2019-09-03 04:00:00,3.350,27.323,67.550,4
4.000,2019-09-03 05:00:00,1.850,26.991,68.400,5
2.000,2019-09-03 07:00:00,2.300,30.705,59.350,7
