EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
23.000,2019-09-01 08:00:00,26.053,29.739,75.895,8
30.000,2019-09-01 09:00:00,25.200,30.332,73.200,9
27.000,2019-09-01 10:00:00,33.105,30.144,73.737,10
22.000,2019-09-01 11:00:00,34.053,29.166,77.000,11
18.000,2019-09-01 12:00:00,34.650,29.486,76.000,12
22.000,2019-09-01 13:00:00,27.200,28.668,82.400,13
19.000,2019-09-01 14:00:00,19.474,29.212,77.632,14
19.000,2019-09-01 15:00:00,21.895,29.249,77.474,15
17.000,2019-09-01 16:00:00,14.850,29.768,74.900,16
19.000,2019-09-01 17:00:00,14.900,29.268,77.000,17
18.000,2019-09-01 18:00:00,12.895,27.298,77.947,18
19.000,2019-09-01 19:00:00,12.947,25.998,79.789,19
11.000,2019-09-01 20:00:00,17.263,26.215,81.579,20
9.000,2019-09-01 21:00:00,17.474,26.471,80.158,21
5.000,2019-09-01 22:00:00,19.100,26.573,82.100,22
13.000,2019-09-01 23:00:00,22.150,26.335,85.550,23
13.000,2019-09-02 03:00:00,32.600,25.703,86.350,3
9.000,2019-09-02 04:00:00,30.316,25.595,85.789,4
16.000,2019-09-02 05:00:00,30.368,25.662,85.105,5
12.000,2019-09-02 06:00:00,24.200,26.510,82.450,6
16.000,2019-09-02 07:00:00,13.500,28.851,73.550,7
12.000,2019-09-02 08:00:00,14.526,31.049,68.316,8
14.000,2019-09-02 09:00:00,15.526,33.442,60.368,9
13.000,2019-09-02 10:00:00,20.421,32.831,60.947,10
10.000,2019-09-02 14:00:00,19.158,30.172,71.474,14
4.000,2019-09-02 15:00:00,15.368,30.986,67.105,15
11.000,2019-09-02 16:00:00,21.300,30.050,71.950,16
14.000,2019-09-02 17:00:00,22.800,29.412,74.500,17
11.000,2019-09-02 18:00:00,20.600,27.806,82.100,18
13.000,2019-09-02 19:00:00,23.000,27.107,86.211,19
20.000,2019-09-02 20:00:00,24.158,27.076,88.053,20
17.000,2019-09-02 21:00:00,27.050,26.973,89.500,21
21.000,2019-09-02 22:00:00,28.200,26.879,89.700,22
21.000,2019-09-03 00:00:00,23.842,26.504,88.105,0
8.000,2019-09-03 01:00:00,28.500,26.235,90.550,1
12.000,2019-09-03 02:00:00,31.158,26.057,92.316,2
2.000,2019-09-03 04:00:00,44.737,25.993,90.947,4
14.000,2019-09-03 05:00:00,44.579,25.800,92.895,5
23.000,2019-09-03 06:00:00,45.850,26.479,90.200,6
31.000,2019-09-03 07:00:00,30.842,28.764,77.421,7
23.000,2019-09-03 08:00:00,16.450,30.312,69.600,8
21.000,2019-09-03 09:00:00,19.526,30.849,67.211,9
28.000,2019-09-03 10:00:00,23.400,29.723,69.950,10
10.000,2019-09-03 11:00:00,15.100,29.693,70.350,11
5.000,2019-09-03 12:00:00,17.526,29.685,71.632,12
