EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
28.000,2019-09-01 08:00:00,29.000,31.718,67.950,8
23.000,2019-09-01 09:00:00,31.950,30.578,68.650,9
19.000,2019-09-01 10:00:00,24.611,30.303,71.000,10
18.000,2019-09-01 11:00:00,23.000,31.649,64.200,11
18.000,2019-09-01 12:00:00,18.053,32.026,59.684,12
28.000,2019-09-01 13:00:00,15.579,32.467,58.316,13
20.000,2019-09-01 14:00:00,14.150,31.287,62.450,14
15.000,2019-09-01 15:00:00,13.722,30.263,65.722,15
10.000,2019-09-01 16:00:00,15.700,29.526,68.950,16
14.000,2019-09-01 17:00:00,8.050,27.250,71.700,17
17.000,2019-09-01 18:00:00,11.900,25.516,78.400,18
8.000,2019-09-01 19:00:00,19.000,26.323,78.800,19
12.000,2019-09-01 20:00:00,20.800,26.511,78.150,20
11.000,2019-09-01 21:00:00,21.444,26.712,76.833,21
17.000,2019-09-01 22:00:00,15.000,26.310,78.650,22
11.000,2019-09-01 23:00:00,10.250,26.228,77.400,23
9.000,2019-09-02 00:00:00,14.500,26.229,76.800,0
5.000,2019-09-02 01:00:00,24.200,25.642,80.700,1
5.000,2019-09-02 02:00:00,38.167,25.732,80.444,2
11.000,2019-09-02 03:00:00,23.350,25.528,81.750,3
17.000,2019-09-02 04:00:00,12.950,25.354,81.350,4
17.000,2019-09-02 05:00:00,10.737,25.417,79.842,5
7.000,2019-09-02 06:00:00,12.556,26.982,74.944,6
10.000,2019-09-02 08:00:00,14.900,32.433,59.700,8
14.000,2019-09-02 09:00:00,14.200,34.557,54.050,9
18.000,2019-09-02 10:00:00,16.600,33.355,55.450,10
13.000,2019-09-02 11:00:00,17.750,32.039,59.100,11
14.000,2019-09-02 15:00:00,20.050,31.894,60.650,15
18.000,2019-09-02 16:00:00,22.632,30.962,65.842,16
21.000,2019-09-02 17:00:00,26.056,29.271,73.222,17
16.000,2019-09-02 18:00:00,30.400,28.207,78.950,18
10.000,2019-09-02 19:00:00,31.550,27.843,81.250,19
9.000,2019-09-02 20:00:00,32.250,27.773,81.950,20
12.000,2019-09-02 21:00:00,33.000,27.739,82.667,21
20.000,2019-09-02 22:00:00,32.100,27.423,83.350,22
18.000,2019-09-03 00:00:00,36.167,26.887,85.222,0
14.000,2019-09-03 01:00:00,38.850,26.648,86.150,1
12.000,2019-09-03 02:00:00,34.050,26.629,84.400,2
18.000,2019-09-03 03:00:00,30.750,26.247,83.500,3
15.000,2019-09-03 04:00:00,31.222,26.060,84.222,4
19.000,2019-09-03 05:00:00,34.250,26.122,84.700,5
18.000,2019-09-03 06:00:00,37.900,27.496,81.850,6
22.000,2019-09-03 07:00:00,35.389,29.884,72.500,7
26.000,2019-09-03 08:00:00,34.750,31.572,66.750,8
20.000,2019-09-03 09:00:00,33.700,32.264,62.050,9
18.000,2019-09-03 10:00:00,32.800,31.647,61.850,10
20.000,2019-09-03 11:00:00,26.667,31.848,59.389,11
15.000,2019-09-03 12:00:00,27.000,31.357,60.950,12
8.000,2019-09-03 13:00:00,27.400,31.080,62.550,13
19.000,2019-09-03 14:00:00,31.500,31.119,64.100,14
22.000,2019-09-03 15:00:00,29.556,30.238,66.556,15
23.000,2019-09-03 16:00:00,30.050,29.904,68.100,16
21.000,2019-09-03 17:00:00,32.850,26.154,82.500,17
19.000,2019-09-03 18:00:00,35.737,24.261,92.895,18
13.000,2019-09-03 19:00:00,17.947,24.248,90.684,19
11.000,2019-09-03 20:00:00,14.750,24.767,87.300,20
10.000,2019-09-03 21:00:00,17.900,24.885,87.050,21
14.000,2019-09-03 22:00:00,28.000,24.997,86.526,22
11.000,2019-09-03 23:00:00,37.579,25.096,87.053,23
