EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
22.000,2019-09-01 08:00:00,35.684,30.046,63.526,8
25.000,2019-09-01 09:00:00,32.900,31.754,58.350,9
34.000,2019-09-01 10:00:00,29.316,33.340,53.684,10
35.000,2019-09-01 11:00:00,29.158,34.188,52.053,11
22.000,2019-09-01 12:00:00,32.150,34.887,51.200,12
23.000,2019-09-01 13:00:00,30.400,33.398,54.500,13
16.000,2019-09-01 14:00:00,25.632,32.663,57.526,14
23.000,2019-09-01 15:00:00,39.368,29.541,68.579,15
21.000,2019-09-01 16:00:00,22.350,23.136,92.200,16
23.000,2019-09-01 17:00:00,9.474,22.846,93.526,17
19.000,2019-09-01 18:00:00,9.947,23.517,89.579,18
12.000,2019-09-01 19:00:00,8.368,24.135,85.842,19
11.000,2019-09-01 20:00:00,11.150,24.673,84.750,20
9.000,2019-09-01 21:00:00,12.500,24.961,83.550,21
18.000,2019-09-01 22:00:00,14.450,25.397,82.950,22
12.000,2019-09-01 23:00:00,15.350,24.892,83.200,23
13.000,2019-09-02 00:00:00,8.389,24.366,83.000,0
6.000,2019-09-02 01:00:00,7.500,24.448,82.700,1
5.000,2019-09-02 02:00:00,9.050,24.355,84.400,2
2.000,2019-09-02 03:00:00,9.550,24.110,84.650,3
5.000,2019-09-02 06:00:00,12.944,25.150,79.833,6
6.000,2019-09-02 07:00:00,14.950,28.927,69.600,7
16.000,2019-09-02 08:00:00,8.500,33.139,54.050,8
16.000,2019-09-02 09:00:00,12.300,33.194,52.600,9
13.000,2019-09-02 10:00:00,10.150,33.694,49.550,10
6.000,2019-09-02 11:00:00,12.600,34.155,48.000,11
9.000,2019-09-02 12:00:00,23.833,33.615,53.111,12
16.000,2019-09-02 13:00:00,26.600,32.296,57.550,13
25.000,2019-09-02 14:00:00,28.350,32.733,57.300,14
22.000,2019-09-02 15:00:00,24.550,32.334,57.450,15
26.000,2019-09-02 16:00:00,25.778,32.662,56.722,16
23.000,2019-09-02 17:00:00,29.450,30.837,60.300,17
29.000,2019-09-02 18:00:00,31.200,28.747,65.950,18
26.000,2019-09-02 19:00:00,32.700,28.007,68.850,19
30.000,2019-09-02 20:00:00,36.722,27.794,71.167,20
28.000,2019-09-02 21:00:00,44.800,27.573,73.500,21
34.000,2019-09-02 22:00:00,51.947,27.083,76.947,22
36.000,2019-09-03 00:00:00,94.950,26.172,83.800,0
46.000,2019-09-03 01:00:00,89.944,25.949,84.056,1
51.000,2019-09-03 02:00:00,81.500,25.973,83.400,2
56.000,2019-09-03 03:00:00,72.947,26.017,83.632,3
42.000,2019-09-03 04:00:00,65.895,25.801,84.316,4
45.000,2019-09-03 05:00:00,62.158,26.082,82.947,5
39.000,2019-09-03 06:00:00,56.158,26.544,81.947,6
41.000,2019-09-03 07:00:00,57.000,28.784,74.474,7
34.000,2019-09-03 08:00:00,59.579,30.722,67.263,8
37.000,2019-09-03 09:00:00,45.400,31.730,59.000,9
37.000,2019-09-03 10:00:00,50.105,32.388,58.316,10
41.000,2019-09-03 11:00:00,61.105,31.008,62.947,11
44.000,2019-09-03 12:00:00,60.500,32.206,59.778,12
53.000,2019-09-03 13:00:00,40.000,31.733,59.650,13
41.000,2019-09-03 14:00:00,24.684,31.485,60.211,14
35.000,2019-09-03 15:00:00,18.526,31.729,58.000,15
24.000,2019-09-03 16:00:00,18.950,30.675,59.950,16
26.000,2019-09-03 17:00:00,26.000,28.907,66.684,17
20.000,2019-09-03 18:00:00,41.316,27.535,73.947,18
17.000,2019-09-03 19:00:00,50.316,26.629,77.789,19
31.000,2019-09-03 20:00:00,46.500,26.941,75.550,20
26.000,2019-09-03 21:00:00,45.579,27.050,74.526,21
24.000,2019-09-03 22:00:00,43.842,26.524,75.895,22
13.000,2019-09-03 23:00:00,33.895,26.727,72.947,23
25.000,2019-09-04 00:00:00,28.850,26.397,73.350,0
24.000,2019-09-04 01:00:00,25.158,26.188,73.632,1
20.000,2019-09-04 02:00:00,22.200,26.561,71.050,2
19.000,2019-09-04 04:00:00,27.316,26.452,72.474,4
16.000,2019-09-04 05:00:00,41.579,25.952,77.316,5
19.000,2019-09-04 06:00:00,41.000,26.310,77.150,6
7.000,2019-09-04 07:00:00,35.579,26.655,74.158,7
16.000,2019-09-04 08:00:00,39.842,28.168,70.895,8
16.000,2019-09-04 09:00:00,24.500,30.655,62.250,9
20.000,2019-09-04 10:00:00,17.947,29.695,63.895,10
10.000,2019-09-04 12:00:00,20.947,26.963,77.842,12
8.000,2019-09-04 13:00:00,22.350,24.536,90.050,13
17.000,2019-09-04 14:00:00,26.350,22.816,98.450,14
13.000,2019-09-04 17:00:00,25.500,24.242,93.300,17
9.000,2019-09-04 18:00:00,23.550,24.073,93.100,18
15.000,2019-09-04 19:00:00,15.600,23.978,90.700,19
19.000,2019-09-04 20:00:00,11.611,24.039,89.833,20
17.000,2019-09-04 22:00:00,14.500,24.642,87.100,22
8.000,2019-09-04 23:00:00,16.050,24.785,86.000,23
8.000,2019-09-05 00:00:00,16.600,24.529,87.000,0
8.000,2019-09-05 02:00:00,26.450,24.161,89.000,2
11.000,2019-09-05 03:00:00,27.000,23.880,89.550,3
17.000,2019-09-05 04:00:00,21.100,24.065,88.500,4
10.000,2019-09-05 05:00:00,17.889,23.838,87.778,5
4.000,2019-09-05 06:00:00,17.600,24.773,84.800,6
4.000,2019-09-05 07:00:00,21.200,27.669,74.750,7
7.000,2019-09-05 08:00:00,28.500,28.812,69.600,8
7.000,2019-09-05 09:00:00,21.556,30.763,61.889,9
11.000,2019-09-05 10:00:00,12.850,32.930,54.250,10
9.000,2019-09-05 11:00:00,25.222,30.992,59.111,11
15.000,2019-09-05 12:00:00,18.158,28.205,69.421,12
10.000,2019-09-05 13:00:00,5.050,27.776,71.100,13
15.000,2019-09-05 14:00:00,2.000,27.787,70.500,14
12.000,2019-09-05 15:00:00,3.111,28.391,69.056,15
6.000,2019-09-05 16:00:00,4.900,28.550,68.450,16
5.000,2019-09-05 17:00:00,11.500,27.879,71.700,17
5.000,2019-09-05 18:00:00,14.450,26.091,78.350,18
6.000,2019-09-05 19:00:00,13.750,26.091,77.300,19
13.000,2019-09-05 20:00:00,14.105,26.095,77.632,20
15.000,2019-09-05 21:00:00,16.895,25.799,79.316,21
23.000,2019-09-05 22:00:00,22.700,25.667,80.150,22
15.000,2019-09-05 23:00:00,27.250,25.155,84.150,23
17.000,2019-09-06 00:00:00,27.579,24.707,86.526,0
13.000,2019-09-06 01:00:00,26.789,24.806,85.947,1
12.000,2019-09-06 03:00:00,27.700,24.510,87.000,3
6.000,2019-09-06 04:00:00,33.944,24.547,87.444,4
9.000,2019-09-06 05:00:00,33.250,24.930,86.200,5
15.000,2019-09-06 06:00:00,24.350,25.161,84.900,6
20.000,2019-09-06 07:00:00,22.105,28.501,73.421,7
15.000,2019-09-06 08:00:00,25.300,30.914,63.950,8
10.000,2019-09-06 09:00:00,23.000,33.004,57.053,9
10.000,2019-09-06 10:00:00,20.000,32.446,55.350,10
26.000,2019-09-06 12:00:00,16.842,32.166,59.158,12
28.000,2019-09-06 13:00:00,17.050,31.532,59.350,13
11.000,2019-09-06 14:00:00,17.421,32.549,55.474,14
4.000,2019-09-06 15:00:00,17.450,35.117,50.550,15
5.000,2019-09-06 16:00:00,17.600,33.369,54.050,16
9.000,2019-09-06 17:00:00,17.316,30.137,61.474,17
20.000,2019-09-06 18:00:00,28.650,28.793,66.900,18
18.000,2019-09-06 19:00:00,38.842,27.365,75.737,19
27.000,2019-09-06 20:00:00,18.500,26.679,74.600,20
16.000,2019-09-06 21:00:00,14.263,26.267,74.368,21
13.000,2019-09-06 23:00:00,14.550,26.111,75.900,23
20.000,2019-09-07 00:00:00,16.556,25.977,77.278,0
6.000,2019-09-07 01:00:00,17.950,25.791,79.400,1
12.000,2019-09-07 02:00:00,20.737,25.262,83.158,2
8.000,2019-09-07 03:00:00,22.650,25.310,82.900,3
11.000,2019-09-07 04:00:00,23.950,25.317,82.950,4
9.000,2019-09-07 06:00:00,12.947,25.550,79.737,6
17.000,2019-09-07 07:00:00,16.900,27.665,72.800,7
15.000,2019-09-07 08:00:00,18.600,31.043,62.250,8
20.000,2019-09-07 09:00:00,19.550,31.077,60.600,9
23.000,2019-09-07 12:00:00,28.600,30.950,61.500,12
10.000,2019-09-07 13:00:00,29.800,32.612,58.700,13
18.000,2019-09-07 14:00:00,26.600,33.443,55.000,14
7.000,2019-09-07 16:00:00,31.900,30.530,64.000,16
10.000,2019-09-07 17:00:00,28.150,28.387,72.000,17
19.000,2019-09-07 18:00:00,27.400,27.492,75.800,18
23.000,2019-09-07 19:00:00,29.056,27.019,78.889,19
21.000,2019-09-07 20:00:00,33.400,26.735,81.200,20
18.000,2019-09-07 21:00:00,33.500,27.166,78.950,21
18.000,2019-09-07 22:00:00,31.778,26.720,78.722,22
18.000,2019-09-07 23:00:00,19.000,25.860,73.750,23
21.000,2019-09-08 00:00:00,19.250,26.068,73.400,0
9.000,2019-09-08 02:00:00,23.900,25.986,75.750,2
6.000,2019-09-08 03:00:00,26.833,25.401,78.278,3
7.000,2019-09-08 04:00:00,17.650,23.649,86.750,4
8.000,2019-09-08 05:00:00,16.200,23.667,86.900,5
8.000,2019-09-08 06:00:00,17.900,24.572,84.700,6
4.000,2019-09-08 07:00:00,21.579,27.056,76.842,7
8.000,2019-09-08 08:00:00,18.684,31.446,63.316,8
6.000,2019-09-08 09:00:00,22.300,33.084,57.100,9
17.000,2019-09-08 10:00:00,19.500,33.412,54.100,10
11.000,2019-09-08 11:00:00,22.850,32.969,54.700,11
20.000,2019-09-08 12:00:00,26.263,33.637,52.737,12
17.000,2019-09-08 13:00:00,28.789,32.267,56.158,13
23.000,2019-09-08 14:00:00,32.650,32.379,55.400,14
18.000,2019-09-08 15:00:00,25.250,32.162,55.950,15
20.000,2019-09-08 16:00:00,24.316,31.248,58.316,16
13.000,2019-09-08 17:00:00,25.947,30.546,60.211,17
19.000,2019-09-08 18:00:00,34.300,28.695,67.150,18
17.000,2019-09-08 19:00:00,36.895,27.810,71.474,19
20.000,2019-09-08 20:00:00,37.900,27.642,72.250,20
22.000,2019-09-08 21:00:00,42.579,27.491,74.158,21
26.000,2019-09-08 22:00:00,48.158,26.905,78.211,22
30.000,2019-09-08 23:00:00,43.316,26.457,78.947,23
26.000,2019-09-09 00:00:00,42.400,25.942,80.250,0
25.000,2019-09-09 01:00:00,44.895,25.589,82.158,1
21.000,2019-09-09 02:00:00,47.789,25.709,81.947,2
22.000,2019-09-09 03:00:00,43.263,25.965,79.789,3
15.000,2019-09-09 04:00:00,42.400,25.916,79.550,4
20.000,2019-09-09 05:00:00,42.211,25.512,80.368,5
22.000,2019-09-09 06:00:00,41.368,26.004,77.842,6
28.000,2019-09-09 07:00:00,37.400,27.436,69.600,7
24.000,2019-09-09 08:00:00,34.211,30.706,60.211,8
18.000,2019-09-09 09:00:00,34.158,32.578,56.632,9
11.000,2019-09-09 10:00:00,36.350,33.622,52.550,10
10.000,2019-09-09 11:00:00,42.444,32.543,55.111,11
21.000,2019-09-09 12:00:00,43.158,31.355,58.053,12
37.000,2019-09-09 13:00:00,31.000,32.623,53.500,13
24.000,2019-09-09 15:00:00,29.105,30.738,57.684,15
11.000,2019-09-09 16:00:00,28.105,31.233,56.000,16
11.000,2019-09-09 17:00:00,34.400,30.072,60.500,17
17.000,2019-09-09 18:00:00,40.650,28.501,67.250,18
17.000,2019-09-09 20:00:00,44.050,27.794,70.400,20
24.000,2019-09-09 21:00:00,46.941,27.666,71.824,21
33.000,2019-09-09 22:00:00,48.600,27.610,72.900,22
37.000,2019-09-10 00:00:00,49.611,26.650,78.111,0
36.000,2019-09-10 01:00:00,60.250,26.292,79.800,1
36.000,2019-09-10 02:00:00,72.278,26.311,80.222,2
41.000,2019-09-10 03:00:00,75.200,26.230,80.300,3
39.000,2019-09-10 04:00:00,72.500,26.171,81.000,4
39.000,2019-09-10 05:00:00,73.300,26.292,81.250,5
37.000,2019-09-10 06:00:00,53.368,26.773,80.263,6
37.000,2019-09-10 07:00:00,56.632,28.133,74.895,7
