EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
9.000,2019-09-01 08:00:00,3.200,33.844,49.400,8,08BEAC028A4E
9.000,2019-09-01 08:00:00,3.000,33.768,51.333,8,08BEAC0286CE
8.000,2019-09-01 09:00:00,1.444,34.490,47.778,9,08BEAC028A4E
8.000,2019-09-01 09:00:00,1.000,35.277,48.100,9,08BEAC0286CE
7.000,2019-09-01 10:00:00,2.000,33.894,50.100,10,08BEAC028A4E
7.000,2019-09-01 10:00:00,1.300,35.908,47.300,10,08BEAC0286CE
4.000,2019-09-01 11:00:00,1.900,33.519,52.100,11,08BEAC028A4E
4.000,2019-09-01 11:00:00,1.000,35.305,48.400,11,08BEAC0286CE
8.000,2019-09-01 16:00:00,1.889,30.009,61.556,16,08BEAC028A4E
8.000,2019-09-01 16:00:00,1.400,30.763,57.100,16,08BEAC0286CE
9.000,2019-09-01 17:00:00,3.100,29.452,64.000,17,08BEAC028A4E
9.000,2019-09-01 17:00:00,2.600,30.144,59.900,17,08BEAC0286CE
5.000,2019-09-01 18:00:00,4.400,28.944,65.300,18,08BEAC028A4E
5.000,2019-09-01 18:00:00,3.900,29.488,61.700,18,08BEAC0286CE
6.000,2019-09-01 19:00:00,26.500,28.441,67.100,19,08BEAC028A4E
6.000,2019-09-01 19:00:00,25.800,28.744,64.500,19,08BEAC0286CE
13.000,2019-09-01 20:00:00,4.400,28.477,66.700,20,08BEAC028A4E
13.000,2019-09-01 20:00:00,3.889,29.077,63.556,20,08BEAC0286CE
12.000,2019-09-01 21:00:00,2.700,28.380,66.900,21,08BEAC028A4E
12.000,2019-09-01 21:00:00,2.500,29.000,63.500,21,08BEAC0286CE
7.000,2019-09-01 22:00:00,2.222,28.184,66.778,22,08BEAC028A4E
7.000,2019-09-01 22:00:00,1.700,28.827,63.600,22,08BEAC0286CE
6.000,2019-09-01 23:00:00,3.700,28.291,65.900,23,08BEAC028A4E
6.000,2019-09-01 23:00:00,3.400,28.830,63.000,23,08BEAC0286CE
5.000,2019-09-02 00:00:00,14.000,27.922,68.000,0,08BEAC028A4E
5.000,2019-09-02 00:00:00,14.100,28.323,65.600,0,08BEAC0286CE
5.000,2019-09-02 01:00:00,34.000,26.910,73.300,1,08BEAC028A4E
5.000,2019-09-02 01:00:00,33.300,27.123,71.000,1,08BEAC0286CE
16.000,2019-09-02 02:00:00,34.600,26.698,73.500,2,08BEAC028A4E
16.000,2019-09-02 02:00:00,33.889,26.957,71.444,2,08BEAC0286CE
20.000,2019-09-02 03:00:00,33.667,26.914,73.222,3,08BEAC028A4E
20.000,2019-09-02 03:00:00,32.700,27.134,71.100,3,08BEAC0286CE
17.000,2019-09-02 04:00:00,33.000,27.360,72.300,4,08BEAC028A4E
17.000,2019-09-02 04:00:00,32.300,27.822,69.300,4,08BEAC0286CE
18.000,2019-09-02 05:00:00,31.100,26.798,74.300,5,08BEAC028A4E
18.000,2019-09-02 05:00:00,31.111,27.067,71.667,5,08BEAC0286CE
18.000,2019-09-02 06:00:00,22.333,29.230,65.889,6,08BEAC028A4E
18.000,2019-09-02 06:00:00,21.900,28.668,68.100,6,08BEAC0286CE
15.000,2019-09-02 07:00:00,6.800,31.433,57.500,7,08BEAC028A4E
15.000,2019-09-02 07:00:00,6.500,31.530,59.300,7,08BEAC0286CE
10.000,2019-09-02 08:00:00,7.000,31.230,58.100,8,08BEAC028A4E
10.000,2019-09-02 08:00:00,6.400,32.508,56.200,8,08BEAC0286CE
10.000,2019-09-02 09:00:00,5.700,31.994,55.800,9,08BEAC028A4E
10.000,2019-09-02 09:00:00,5.111,33.981,52.667,9,08BEAC0286CE
9.000,2019-09-02 10:00:00,4.200,33.319,51.400,10,08BEAC028A4E
9.000,2019-09-02 10:00:00,3.500,34.841,49.600,10,08BEAC0286CE
9.000,2019-09-02 12:00:00,3.100,34.486,49.800,12,08BEAC028A4E
9.000,2019-09-02 12:00:00,2.556,36.224,47.000,12,08BEAC0286CE
4.000,2019-09-02 18:00:00,5.800,29.463,64.400,18,08BEAC028A4E
4.000,2019-09-02 18:00:00,5.100,30.147,59.800,18,08BEAC0286CE
6.000,2019-09-02 19:00:00,4.875,28.822,66.000,19,08BEAC028A4E
