EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
23.000,2019-09-01 08:00:00,26.778,30.419,73.333,8,08BEAC028770
23.000,2019-09-01 08:00:00,25.400,29.127,78.200,8,08BEAC028772
30.000,2019-09-01 09:00:00,25.300,31.405,69.200,9,08BEAC028770
30.000,2019-09-01 09:00:00,25.100,29.259,77.200,9,08BEAC028772
27.000,2019-09-01 10:00:00,33.300,31.119,70.100,10,08BEAC028770
27.000,2019-09-01 10:00:00,32.889,29.061,77.778,10,08BEAC028772
22.000,2019-09-01 11:00:00,34.889,29.997,73.111,11,08BEAC028770
22.000,2019-09-01 11:00:00,33.300,28.418,80.500,11,08BEAC028772
18.000,2019-09-01 12:00:00,35.500,30.305,72.400,12,08BEAC028770
18.000,2019-09-01 12:00:00,33.800,28.668,79.600,12,08BEAC028772
22.000,2019-09-01 13:00:00,28.300,29.292,78.800,13,08BEAC028770
22.000,2019-09-01 13:00:00,26.100,28.043,86.000,13,08BEAC028772
19.000,2019-09-01 14:00:00,20.000,30.055,73.900,14,08BEAC028770
19.000,2019-09-01 14:00:00,18.889,28.274,81.778,14,08BEAC028772
19.000,2019-09-01 15:00:00,22.667,30.037,74.111,15,08BEAC028770
19.000,2019-09-01 15:00:00,21.200,28.540,80.500,15,08BEAC028772
17.000,2019-09-01 16:00:00,15.600,30.055,73.500,16,08BEAC028770
17.000,2019-09-01 16:00:00,14.100,29.480,76.300,16,08BEAC028772
19.000,2019-09-01 17:00:00,15.700,29.288,76.300,17,08BEAC028770
19.000,2019-09-01 17:00:00,14.100,29.247,77.700,17,08BEAC028772
18.000,2019-09-01 18:00:00,13.200,27.283,77.200,18,08BEAC028770
18.000,2019-09-01 18:00:00,12.556,27.314,78.778,18,08BEAC028772
19.000,2019-09-01 19:00:00,14.900,26.073,78.700,19,08BEAC028770
19.000,2019-09-01 19:00:00,10.778,25.914,81.000,19,08BEAC028772
11.000,2019-09-01 20:00:00,18.778,26.289,80.444,20,08BEAC028770
11.000,2019-09-01 20:00:00,15.900,26.148,82.600,20,08BEAC028772
9.000,2019-09-01 21:00:00,18.200,26.497,79.500,21,08BEAC028770
9.000,2019-09-01 21:00:00,16.667,26.442,80.889,21,08BEAC028772
5.000,2019-09-01 22:00:00,19.600,26.647,81.100,22,08BEAC028770
5.000,2019-09-01 22:00:00,18.600,26.498,83.100,22,08BEAC028772
13.000,2019-09-01 23:00:00,24.200,26.448,84.300,23,08BEAC028770
13.000,2019-09-01 23:00:00,20.100,26.222,86.800,23,08BEAC028772
13.000,2019-09-02 03:00:00,39.700,25.709,85.700,3,08BEAC028770
13.000,2019-09-02 03:00:00,25.500,25.697,87.000,3,08BEAC028772
9.000,2019-09-02 04:00:00,39.778,25.620,85.000,4,08BEAC028770
9.000,2019-09-02 04:00:00,21.800,25.572,86.500,4,08BEAC028772
16.000,2019-09-02 05:00:00,39.600,25.685,84.500,5,08BEAC028770
16.000,2019-09-02 05:00:00,20.111,25.636,85.778,5,08BEAC028772
12.000,2019-09-02 06:00:00,28.000,26.697,81.400,6,08BEAC028770
12.000,2019-09-02 06:00:00,20.400,26.322,83.500,6,08BEAC028772
16.000,2019-09-02 07:00:00,14.100,29.019,73.100,7,08BEAC028770
16.000,2019-09-02 07:00:00,12.900,28.682,74.000,7,08BEAC028772
12.000,2019-09-02 08:00:00,15.111,31.740,66.667,8,08BEAC028770
12.000,2019-09-02 08:00:00,14.000,30.427,69.800,8,08BEAC028772
14.000,2019-09-02 09:00:00,16.000,34.980,57.000,9,08BEAC028770
14.000,2019-09-02 09:00:00,15.100,32.058,63.400,9,08BEAC028772
13.000,2019-09-02 10:00:00,18.600,33.524,59.100,10,08BEAC028770
13.000,2019-09-02 10:00:00,22.444,32.061,63.000,10,08BEAC028772
10.000,2019-09-02 14:00:00,20.667,30.771,69.111,14,08BEAC028770
10.000,2019-09-02 14:00:00,17.800,29.633,73.600,14,08BEAC028772
4.000,2019-09-02 15:00:00,16.300,31.305,66.100,15,08BEAC028770
4.000,2019-09-02 15:00:00,14.333,30.632,68.222,15,08BEAC028772
11.000,2019-09-02 16:00:00,22.100,30.580,69.800,16,08BEAC028770
11.000,2019-09-02 16:00:00,20.500,29.519,74.100,16,08BEAC028772
14.000,2019-09-02 17:00:00,24.200,29.794,72.500,17,08BEAC028770
14.000,2019-09-02 17:00:00,21.400,29.030,76.500,17,08BEAC028772
11.000,2019-09-02 18:00:00,21.200,27.982,80.100,18,08BEAC028770
11.000,2019-09-02 18:00:00,20.000,27.631,84.100,18,08BEAC028772
13.000,2019-09-02 19:00:00,24.444,27.120,84.556,19,08BEAC028770
13.000,2019-09-02 19:00:00,21.700,27.096,87.700,19,08BEAC028772
20.000,2019-09-02 20:00:00,25.300,27.160,86.100,20,08BEAC028770
20.000,2019-09-02 20:00:00,22.889,26.982,90.222,20,08BEAC028772
17.000,2019-09-02 21:00:00,28.400,27.034,87.800,21,08BEAC028770
17.000,2019-09-02 21:00:00,25.700,26.911,91.200,21,08BEAC028772
21.000,2019-09-02 22:00:00,29.100,26.948,88.000,22,08BEAC028770
21.000,2019-09-02 22:00:00,27.300,26.810,91.400,22,08BEAC028772
21.000,2019-09-03 00:00:00,24.900,26.560,86.900,0,08BEAC028770
21.000,2019-09-03 00:00:00,22.667,26.442,89.444,0,08BEAC028772
