EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
28.000,2019-09-01 08:00:00,27.600,32.691,66.700,8,08BEAC0286B8
28.000,2019-09-01 08:00:00,30.400,30.744,69.200,8,08BEAC0286C8
23.000,2019-09-01 09:00:00,30.400,31.422,67.200,9,08BEAC0286B8
23.000,2019-09-01 09:00:00,33.500,29.733,70.100,9,08BEAC0286C8
19.000,2019-09-01 10:00:00,23.111,30.962,69.778,10,08BEAC0286B8
19.000,2019-09-01 10:00:00,26.111,29.644,72.222,10,08BEAC0286C8
18.000,2019-09-01 11:00:00,21.800,32.233,63.400,11,08BEAC0286B8
18.000,2019-09-01 11:00:00,24.200,31.066,65.000,11,08BEAC0286C8
18.000,2019-09-01 12:00:00,16.667,32.577,59.222,12,08BEAC0286B8
18.000,2019-09-01 12:00:00,19.300,31.530,60.100,12,08BEAC0286C8
28.000,2019-09-01 13:00:00,14.600,32.694,58.700,13,08BEAC0286B8
28.000,2019-09-01 13:00:00,16.667,32.216,57.889,13,08BEAC0286C8
20.000,2019-09-01 14:00:00,13.600,31.483,63.100,14,08BEAC0286B8
20.000,2019-09-01 14:00:00,14.700,31.091,61.800,14,08BEAC0286C8
15.000,2019-09-01 15:00:00,13.111,30.413,66.556,15,08BEAC0286B8
15.000,2019-09-01 15:00:00,14.333,30.113,64.889,15,08BEAC0286C8
10.000,2019-09-01 16:00:00,15.200,29.733,69.200,16,08BEAC0286B8
10.000,2019-09-01 16:00:00,16.200,29.319,68.700,16,08BEAC0286C8
14.000,2019-09-01 17:00:00,7.900,27.343,72.200,17,08BEAC0286B8
14.000,2019-09-01 17:00:00,8.200,27.158,71.200,17,08BEAC0286C8
17.000,2019-09-01 18:00:00,12.000,25.534,78.300,18,08BEAC0286B8
17.000,2019-09-01 18:00:00,11.800,25.497,78.500,18,08BEAC0286C8
8.000,2019-09-01 19:00:00,18.800,26.348,79.600,19,08BEAC0286B8
8.000,2019-09-01 19:00:00,19.200,26.297,78.000,19,08BEAC0286C8
12.000,2019-09-01 20:00:00,20.500,26.523,78.800,20,08BEAC0286B8
12.000,2019-09-01 20:00:00,21.100,26.498,77.500,20,08BEAC0286C8
11.000,2019-09-01 21:00:00,21.222,26.747,77.667,21,08BEAC0286B8
11.000,2019-09-01 21:00:00,21.667,26.677,76.000,21,08BEAC0286C8
17.000,2019-09-01 22:00:00,15.200,26.347,79.700,22,08BEAC0286B8
17.000,2019-09-01 22:00:00,14.800,26.273,77.600,22,08BEAC0286C8
11.000,2019-09-01 23:00:00,10.100,26.272,78.300,23,08BEAC0286B8
11.000,2019-09-01 23:00:00,10.400,26.184,76.500,23,08BEAC0286C8
9.000,2019-09-02 00:00:00,14.200,26.247,77.700,0,08BEAC0286B8
9.000,2019-09-02 00:00:00,14.800,26.210,75.900,0,08BEAC0286C8
5.000,2019-09-02 01:00:00,23.900,25.710,81.800,1,08BEAC0286B8
5.000,2019-09-02 01:00:00,24.500,25.573,79.600,1,08BEAC0286C8
5.000,2019-09-02 02:00:00,37.889,25.760,81.111,2,08BEAC0286B8
5.000,2019-09-02 02:00:00,38.444,25.704,79.778,2,08BEAC0286C8
11.000,2019-09-02 03:00:00,23.000,25.534,82.300,3,08BEAC0286B8
11.000,2019-09-02 03:00:00,23.700,25.522,81.200,3,08BEAC0286C8
17.000,2019-09-02 04:00:00,12.800,25.373,82.200,4,08BEAC0286B8
17.000,2019-09-02 04:00:00,13.100,25.335,80.500,4,08BEAC0286C8
17.000,2019-09-02 05:00:00,10.700,25.421,80.800,5,08BEAC0286B8
17.000,2019-09-02 05:00:00,10.778,25.413,78.778,5,08BEAC0286C8
7.000,2019-09-02 06:00:00,12.333,27.218,75.556,6,08BEAC0286B8
7.000,2019-09-02 06:00:00,12.778,26.747,74.333,6,08BEAC0286C8
10.000,2019-09-02 08:00:00,13.700,33.933,57.900,8,08BEAC0286B8
10.000,2019-09-02 08:00:00,16.100,30.933,61.500,8,08BEAC0286C8
14.000,2019-09-02 09:00:00,13.200,35.797,53.400,9,08BEAC0286B8
14.000,2019-09-02 09:00:00,15.200,33.316,54.700,9,08BEAC0286C8
18.000,2019-09-02 10:00:00,15.400,34.555,54.000,10,08BEAC0286B8
18.000,2019-09-02 10:00:00,17.800,32.155,56.900,10,08BEAC0286C8
13.000,2019-09-02 11:00:00,16.400,32.769,58.100,11,08BEAC0286B8
13.000,2019-09-02 11:00:00,19.100,31.308,60.100,11,08BEAC0286C8
14.000,2019-09-02 15:00:00,20.300,31.805,62.200,15,08BEAC0286B8
14.000,2019-09-02 15:00:00,19.800,31.983,59.100,15,08BEAC0286C8
18.000,2019-09-02 16:00:00,22.100,30.869,67.400,16,08BEAC0286B8
18.000,2019-09-02 16:00:00,23.222,31.064,64.111,16,08BEAC0286C8
21.000,2019-09-02 17:00:00,25.222,29.438,73.000,17,08BEAC0286B8
21.000,2019-09-02 17:00:00,26.889,29.104,73.444,17,08BEAC0286C8
16.000,2019-09-02 18:00:00,29.300,28.343,79.400,18,08BEAC0286B8
16.000,2019-09-02 18:00:00,31.500,28.071,78.500,18,08BEAC0286C8
10.000,2019-09-02 19:00:00,30.900,27.961,81.700,19,08BEAC0286B8
10.000,2019-09-02 19:00:00,32.200,27.724,80.800,19,08BEAC0286C8
9.000,2019-09-02 20:00:00,31.700,27.898,82.400,20,08BEAC0286B8
9.000,2019-09-02 20:00:00,32.800,27.648,81.500,20,08BEAC0286C8
12.000,2019-09-02 21:00:00,32.444,27.843,83.000,21,08BEAC0286B8
12.000,2019-09-02 21:00:00,33.556,27.634,82.333,21,08BEAC0286C8
20.000,2019-09-02 22:00:00,31.700,27.523,83.900,22,08BEAC0286B8
20.000,2019-09-02 22:00:00,32.500,27.322,82.800,22,08BEAC0286C8
18.000,2019-09-03 00:00:00,35.778,26.942,86.111,0,08BEAC0286B8
18.000,2019-09-03 00:00:00,36.556,26.831,84.333,0,08BEAC0286C8
14.000,2019-09-03 01:00:00,38.400,26.761,86.900,1,08BEAC0286B8
14.000,2019-09-03 01:00:00,39.300,26.535,85.400,1,08BEAC0286C8
12.000,2019-09-03 02:00:00,34.100,26.622,85.200,2,08BEAC0286B8
12.000,2019-09-03 02:00:00,34.000,26.636,83.600,2,08BEAC0286C8
18.000,2019-09-03 03:00:00,30.400,26.234,84.500,3,08BEAC0286B8
18.000,2019-09-03 03:00:00,31.100,26.259,82.500,3,08BEAC0286C8
15.000,2019-09-03 04:00:00,30.889,26.081,85.222,4,08BEAC0286B8
15.000,2019-09-03 04:00:00,31.556,26.039,83.222,4,08BEAC0286C8
19.000,2019-09-03 05:00:00,34.200,26.196,85.500,5,08BEAC0286B8
19.000,2019-09-03 05:00:00,34.300,26.048,83.900,5,08BEAC0286C8
18.000,2019-09-03 06:00:00,37.700,27.720,82.100,6,08BEAC0286B8
18.000,2019-09-03 06:00:00,38.100,27.272,81.600,6,08BEAC0286C8
22.000,2019-09-03 07:00:00,34.000,30.941,69.667,7,08BEAC0286B8
22.000,2019-09-03 07:00:00,36.778,28.827,75.333,7,08BEAC0286C8
26.000,2019-09-03 08:00:00,33.200,32.880,63.900,8,08BEAC0286B8
26.000,2019-09-03 08:00:00,36.300,30.263,69.600,8,08BEAC0286C8
20.000,2019-09-03 09:00:00,31.700,33.683,59.700,9,08BEAC0286B8
20.000,2019-09-03 09:00:00,35.700,30.844,64.400,9,08BEAC0286C8
18.000,2019-09-03 10:00:00,31.200,32.477,60.300,10,08BEAC0286B8
18.000,2019-09-03 10:00:00,34.400,30.816,63.400,10,08BEAC0286C8
20.000,2019-09-03 11:00:00,25.222,32.422,58.444,11,08BEAC0286B8
20.000,2019-09-03 11:00:00,28.111,31.274,60.333,11,08BEAC0286C8
15.000,2019-09-03 12:00:00,25.600,31.644,61.100,12,08BEAC0286B8
15.000,2019-09-03 12:00:00,28.400,31.069,60.800,12,08BEAC0286C8
8.000,2019-09-03 13:00:00,26.300,31.241,62.900,13,08BEAC0286B8
8.000,2019-09-03 13:00:00,28.500,30.919,62.200,13,08BEAC0286C8
19.000,2019-09-03 14:00:00,30.300,31.130,65.400,14,08BEAC0286B8
19.000,2019-09-03 14:00:00,32.700,31.108,62.800,14,08BEAC0286C8
22.000,2019-09-03 15:00:00,28.333,30.447,67.222,15,08BEAC0286B8
22.000,2019-09-03 15:00:00,30.778,30.030,65.889,15,08BEAC0286C8
23.000,2019-09-03 16:00:00,29.200,30.077,68.700,16,08BEAC0286B8
23.000,2019-09-03 16:00:00,30.900,29.730,67.500,16,08BEAC0286C8
21.000,2019-09-03 17:00:00,32.200,25.936,87.500,17,08BEAC0286B8
21.000,2019-09-03 17:00:00,33.500,26.372,77.500,17,08BEAC0286C8
19.000,2019-09-03 18:00:00,35.778,24.233,97.556,18,08BEAC0286B8
19.000,2019-09-03 18:00:00,35.700,24.286,88.700,18,08BEAC0286C8
13.000,2019-09-03 19:00:00,18.100,24.248,92.700,19,08BEAC0286B8
