EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
12.000,2019-09-01 08:00:00,7.400,34.394,49.100,8,08BEAC028A74
12.000,2019-09-01 08:00:00,7.222,35.200,49.222,8,08BEAC0286E0
14.000,2019-09-01 09:00:00,7.500,36.996,43.375,9,08BEAC028A74
14.000,2019-09-01 09:00:00,8.000,37.046,44.200,9,08BEAC0286E0
12.000,2019-09-01 10:00:00,9.100,37.624,40.500,10,08BEAC028A74
12.000,2019-09-01 10:00:00,9.300,38.536,41.400,10,08BEAC0286E0
34.000,2019-09-01 11:00:00,15.600,33.458,49.000,11,08BEAC028A74
34.000,2019-09-01 11:00:00,16.300,34.772,49.800,11,08BEAC0286E0
20.000,2019-09-01 12:00:00,33.333,33.228,53.667,12,08BEAC028A74
20.000,2019-09-01 12:00:00,31.000,34.644,52.667,12,08BEAC0286E0
30.000,2019-09-01 13:00:00,39.444,32.771,56.000,13,08BEAC028A74
30.000,2019-09-01 13:00:00,37.400,33.455,56.800,13,08BEAC0286E0
16.000,2019-09-01 14:00:00,43.700,33.847,55.100,14,08BEAC028A74
16.000,2019-09-01 14:00:00,42.100,34.105,56.800,14,08BEAC0286E0
27.000,2019-09-01 15:00:00,11.700,31.347,57.300,15,08BEAC028A74
27.000,2019-09-01 15:00:00,9.889,31.601,59.111,15,08BEAC0286E0
40.000,2019-09-01 16:00:00,48.000,29.383,66.333,16,08BEAC028A74
40.000,2019-09-01 16:00:00,43.500,29.429,70.500,16,08BEAC0286E0
46.000,2019-09-01 17:00:00,30.111,26.650,71.889,17,08BEAC028A74
46.000,2019-09-01 17:00:00,31.200,26.523,77.000,17,08BEAC0286E0
46.000,2019-09-01 18:00:00,58.600,27.060,74.900,18,08BEAC028A74
46.000,2019-09-01 18:00:00,56.778,27.317,78.667,18,08BEAC0286E0
33.000,2019-09-01 19:00:00,31.500,26.960,72.000,19,08BEAC028A74
33.000,2019-09-01 19:00:00,32.200,27.211,74.200,19,08BEAC0286E0
43.000,2019-09-01 20:00:00,31.000,26.761,72.333,20,08BEAC028A74
43.000,2019-09-01 20:00:00,29.500,27.121,73.800,20,08BEAC0286E0
