EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
4.000,2019-09-01 08:00:00,0.200,31.669,52.600,8,08BEAC028A52
4.000,2019-09-01 08:00:00,0.000,31.882,53.222,8,08BEAC028690
3.000,2019-09-01 09:00:00,0.800,33.194,50.300,9,08BEAC028A52
3.000,2019-09-01 09:00:00,0.800,33.216,51.300,9,08BEAC028690
3.000,2019-09-01 11:00:00,0.111,33.287,49.556,11,08BEAC028A52
3.000,2019-09-01 11:00:00,0.200,32.233,54.200,11,08BEAC028690
2.000,2019-09-01 12:00:00,0.100,33.908,47.800,12,08BEAC028A52
2.000,2019-09-01 12:00:00,0.111,32.716,52.778,12,08BEAC028690
2.000,2019-09-01 13:00:00,0.300,35.180,45.600,13,08BEAC028A52
2.000,2019-09-01 13:00:00,0.600,33.605,51.200,13,08BEAC028690
3.000,2019-09-01 14:00:00,1.300,34.491,47.000,14,08BEAC028A52
3.000,2019-09-01 14:00:00,1.400,32.666,53.800,14,08BEAC028690
6.000,2019-09-01 15:00:00,1.200,32.144,52.200,15,08BEAC028A52
6.000,2019-09-01 15:00:00,1.000,30.885,59.125,15,08BEAC028690
11.000,2019-09-01 16:00:00,1.500,29.855,58.200,16,08BEAC028A52
11.000,2019-09-01 16:00:00,1.400,29.552,63.800,16,08BEAC028690
12.000,2019-09-01 17:00:00,2.000,29.157,61.222,17,08BEAC028A52
12.000,2019-09-01 17:00:00,1.900,28.919,66.000,17,08BEAC028690
7.000,2019-09-01 18:00:00,2.500,28.716,62.800,18,08BEAC028A52
7.000,2019-09-01 18:00:00,2.222,28.537,67.667,18,08BEAC028690
3.000,2019-09-01 21:00:00,1.000,28.280,64.000,21,08BEAC028A52
3.000,2019-09-01 21:00:00,1.400,28.208,69.000,21,08BEAC028690
5.000,2019-09-01 22:00:00,0.800,28.294,62.600,22,08BEAC028A52
5.000,2019-09-01 22:00:00,0.900,28.227,67.300,22,08BEAC028690
3.000,2019-09-01 23:00:00,1.778,28.188,63.889,23,08BEAC028A52
3.000,2019-09-01 23:00:00,1.800,28.020,69.300,23,08BEAC028690
2.000,2019-09-02 00:00:00,1.800,28.099,64.500,0,08BEAC028A52
2.000,2019-09-02 00:00:00,1.889,27.957,70.000,0,08BEAC028690
6.000,2019-09-02 02:00:00,40.800,27.060,70.200,2,08BEAC028A52
6.000,2019-09-02 02:00:00,40.800,27.061,74.700,2,08BEAC028690
9.000,2019-09-02 03:00:00,37.222,26.734,71.000,3,08BEAC028A52
9.000,2019-09-02 03:00:00,37.800,26.620,76.000,3,08BEAC028690
10.000,2019-09-02 04:00:00,34.700,26.936,70.600,4,08BEAC028A52
10.000,2019-09-02 04:00:00,34.556,26.816,75.889,4,08BEAC028690
11.000,2019-09-02 05:00:00,25.400,26.859,71.300,5,08BEAC028A52
11.000,2019-09-02 05:00:00,26.100,26.672,76.900,5,08BEAC028690
11.000,2019-09-02 06:00:00,8.200,27.807,67.300,6,08BEAC028A52
11.000,2019-09-02 06:00:00,8.000,28.892,67.000,6,08BEAC028690
10.000,2019-09-02 07:00:00,7.667,30.212,61.000,7,08BEAC028A52
10.000,2019-09-02 07:00:00,6.300,32.119,57.300,7,08BEAC028690
2.000,2019-09-02 09:00:00,3.700,33.269,50.900,9,08BEAC028A52
2.000,2019-09-02 09:00:00,3.400,33.552,51.600,9,08BEAC028690
7.000,2019-09-02 10:00:00,2.222,33.410,49.667,10,08BEAC028A52
7.000,2019-09-02 10:00:00,1.700,33.219,51.100,10,08BEAC028690
8.000,2019-09-02 11:00:00,2.000,33.902,48.500,11,08BEAC028A52
8.000,2019-09-02 11:00:00,1.800,33.091,52.400,11,08BEAC028690
6.000,2019-09-02 12:00:00,2.000,34.530,47.000,12,08BEAC028A52
6.000,2019-09-02 12:00:00,1.900,33.213,52.300,12,08BEAC028690
3.000,2019-09-02 13:00:00,1.400,35.377,45.000,13,08BEAC028A52
3.000,2019-09-02 13:00:00,1.300,33.755,50.700,13,08BEAC028690
6.000,2019-09-02 14:00:00,2.333,34.466,46.333,14,08BEAC028A52
6.000,2019-09-02 14:00:00,2.100,32.705,53.000,14,08BEAC028690
3.000,2019-09-02 15:00:00,2.500,34.480,46.500,15,08BEAC028A52
3.000,2019-09-02 15:00:00,2.556,32.466,54.667,15,08BEAC028690
10.000,2019-09-02 16:00:00,3.600,32.577,51.100,16,08BEAC028A52
10.000,2019-09-02 16:00:00,3.100,30.983,59.400,16,08BEAC028690
9.000,2019-09-02 17:00:00,3.700,30.777,56.800,17,08BEAC028A52
9.000,2019-09-02 17:00:00,3.300,29.902,63.800,17,08BEAC028690
12.000,2019-09-02 18:00:00,4.100,29.019,62.100,18,08BEAC028A52
12.000,2019-09-02 18:00:00,3.700,28.819,67.600,18,08BEAC028690
4.000,2019-09-02 19:00:00,2.800,28.544,62.500,19,08BEAC028A52
4.000,2019-09-02 19:00:00,2.500,28.397,67.600,19,08BEAC028690
6.000,2019-09-02 20:00:00,2.000,28.363,61.778,20,08BEAC028A52
6.000,2019-09-02 20:00:00,1.600,28.269,66.600,20,08BEAC028690
3.000,2019-09-02 21:00:00,1.000,28.388,61.300,21,08BEAC028A52
3.000,2019-09-02 21:00:00,1.000,28.305,65.875,21,08BEAC028690
8.000,2019-09-02 22:00:00,1.000,28.269,61.300,22,08BEAC028A52
8.000,2019-09-02 22:00:00,0.900,28.166,66.100,22,08BEAC028690
6.000,2019-09-03 00:00:00,1.000,28.077,62.000,0,08BEAC028A52
6.000,2019-09-03 00:00:00,1.000,27.948,66.800,0,08BEAC028690
9.000,2019-09-03 01:00:00,1.000,27.823,63.000,1,08BEAC028A52
9.000,2019-09-03 01:00:00,1.000,27.773,67.300,1,08BEAC028690
9.000,2019-09-03 02:00:00,1.111,27.636,63.667,2,08BEAC028A52
9.000,2019-09-03 02:00:00,1.000,27.511,68.600,2,08BEAC028690
13.000,2019-09-03 03:00:00,1.400,27.384,64.900,3,08BEAC028A52
13.000,2019-09-03 03:00:00,1.300,27.236,70.100,3,08BEAC028690
7.000,2019-09-03 04:00:00,1.900,27.085,66.400,4,08BEAC028A52
7.000,2019-09-03 04:00:00,1.889,26.929,71.556,4,08BEAC028690
11.000,2019-09-03 05:00:00,1.900,26.511,69.400,5,08BEAC028A52
11.000,2019-09-03 05:00:00,1.900,26.372,74.300,5,08BEAC028690
4.000,2019-09-03 10:00:00,1.000,31.577,52.778,10,08BEAC028A52
4.000,2019-09-03 10:00:00,1.000,31.450,55.333,10,08BEAC028690
4.000,2019-09-03 12:00:00,0.900,32.416,50.600,12,08BEAC028A52
4.000,2019-09-03 12:00:00,1.000,31.521,55.778,12,08BEAC028690
5.000,2019-09-03 13:00:00,0.900,32.319,49.900,13,08BEAC028A52
5.000,2019-09-03 13:00:00,0.900,31.283,55.600,13,08BEAC028690
6.000,2019-09-03 14:00:00,1.444,32.342,50.000,14,08BEAC028A52
6.000,2019-09-03 14:00:00,1.400,31.166,56.000,14,08BEAC028690
4.000,2019-09-03 15:00:00,1.667,31.962,51.889,15,08BEAC028A52
4.000,2019-09-03 15:00:00,1.400,30.516,59.400,15,08BEAC028690
4.000,2019-09-03 16:00:00,0.600,30.580,55.200,16,08BEAC028A52
4.000,2019-09-03 16:00:00,0.889,29.358,63.111,16,08BEAC028690
7.000,2019-09-03 17:00:00,0.400,29.430,58.700,17,08BEAC028A52
7.000,2019-09-03 17:00:00,0.556,28.518,66.111,17,08BEAC028690
4.000,2019-09-03 18:00:00,1.200,27.809,64.100,18,08BEAC028A52
4.000,2019-09-03 18:00:00,1.400,27.636,69.500,18,08BEAC028690
7.000,2019-09-03 19:00:00,1.600,27.536,65.600,19,08BEAC028A52
7.000,2019-09-03 19:00:00,1.300,27.449,70.600,19,08BEAC028690
5.000,2019-09-03 20:00:00,1.111,27.302,66.778,20,08BEAC028A52
5.000,2019-09-03 20:00:00,1.100,27.186,71.600,20,08BEAC028690
7.000,2019-09-03 21:00:00,1.000,27.011,68.444,21,08BEAC028A52
7.000,2019-09-03 21:00:00,1.100,26.935,73.100,21,08BEAC028690
3.000,2019-09-03 22:00:00,0.900,26.659,70.700,22,08BEAC028A52
3.000,2019-09-03 22:00:00,1.000,26.572,75.700,22,08BEAC028690
2.000,2019-09-04 02:00:00,1.111,25.721,77.667,2,08BEAC028A52
2.000,2019-09-04 02:00:00,1.100,25.609,83.000,2,08BEAC028690
4.000,2019-09-04 04:00:00,0.800,25.259,79.000,4,08BEAC028A52
4.000,2019-09-04 04:00:00,0.778,24.997,84.778,4,08BEAC028690
8.000,2019-09-04 07:00:00,1.700,26.010,80.000,7,08BEAC028A52
8.000,2019-09-04 07:00:00,1.600,25.810,84.200,7,08BEAC028690
7.000,2019-09-04 08:00:00,3.000,28.816,69.444,8,08BEAC028A52
7.000,2019-09-04 08:00:00,3.100,29.419,71.500,8,08BEAC028690
7.000,2019-09-04 09:00:00,5.800,26.483,78.500,9,08BEAC028A52
7.000,2019-09-04 09:00:00,5.700,25.810,85.100,9,08BEAC028690
3.000,2019-09-04 10:00:00,2.200,25.698,81.400,10,08BEAC028A52
3.000,2019-09-04 10:00:00,2.111,26.024,84.333,10,08BEAC028690
4.000,2019-09-04 12:00:00,5.000,27.807,73.400,12,08BEAC028A52
4.000,2019-09-04 12:00:00,5.100,27.098,80.700,12,08BEAC028690
3.000,2019-09-04 14:00:00,2.556,25.762,83.111,14,08BEAC028A52
3.000,2019-09-04 14:00:00,2.300,25.410,89.900,14,08BEAC028690
2.000,2019-09-04 15:00:00,1.900,24.036,90.800,15,08BEAC028A52
2.000,2019-09-04 15:00:00,2.100,23.611,97.400,15,08BEAC028690
5.000,2019-09-04 18:00:00,5.300,24.898,84.400,18,08BEAC028A52
5.000,2019-09-04 18:00:00,5.000,24.798,89.800,18,08BEAC028690
3.000,2019-09-04 19:00:00,2.500,24.711,83.000,19,08BEAC028A52
3.000,2019-09-04 19:00:00,2.700,24.573,88.800,19,08BEAC028690
6.000,2019-09-04 20:00:00,3.556,24.471,84.444,20,08BEAC028A52
6.000,2019-09-04 20:00:00,3.600,24.334,89.900,20,08BEAC028690
2.000,2019-09-04 23:00:00,4.700,24.448,86.800,23,08BEAC028A52
