EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR,device_id
22.000,2019-09-01 08:00:00,35.400,30.733,60.800,8,08BEAC0286DC
22.000,2019-09-01 08:00:00,36.000,29.283,66.556,8,08BEAC0286DE
25.000,2019-09-01 09:00:00,32.700,32.077,56.500,9,08BEAC0286DC
25.000,2019-09-01 09:00:00,33.100,31.430,60.200,9,08BEAC0286DE
34.000,2019-09-01 10:00:00,29.222,34.021,51.889,10,08BEAC0286DC
34.000,2019-09-01 10:00:00,29.400,32.727,55.300,10,08BEAC0286DE
35.000,2019-09-01 11:00:00,29.400,34.391,51.600,11,08BEAC0286DC
35.000,2019-09-01 11:00:00,28.889,33.962,52.556,11,08BEAC0286DE
22.000,2019-09-01 12:00:00,32.500,35.094,50.900,12,08BEAC0286DC
22.000,2019-09-01 12:00:00,31.800,34.680,51.500,12,08BEAC0286DE
23.000,2019-09-01 13:00:00,30.700,33.583,54.100,13,08BEAC0286DC
23.000,2019-09-01 13:00:00,30.100,33.213,54.900,13,08BEAC0286DE
16.000,2019-09-01 14:00:00,26.556,32.851,56.444,14,08BEAC0286DC
16.000,2019-09-01 14:00:00,24.800,32.494,58.500,14,08BEAC0286DE
23.000,2019-09-01 15:00:00,39.400,29.556,68.000,15,08BEAC0286DC
23.000,2019-09-01 15:00:00,39.333,29.524,69.222,15,08BEAC0286DE
21.000,2019-09-01 16:00:00,22.300,22.612,98.900,16,08BEAC0286DC
21.000,2019-09-01 16:00:00,22.400,23.660,85.500,16,08BEAC0286DE
23.000,2019-09-01 17:00:00,9.800,22.660,96.500,17,08BEAC0286DC
23.000,2019-09-01 17:00:00,9.111,23.052,90.222,17,08BEAC0286DE
19.000,2019-09-01 18:00:00,10.333,23.400,91.444,18,08BEAC0286DC
19.000,2019-09-01 18:00:00,9.600,23.622,87.900,18,08BEAC0286DE
12.000,2019-09-01 19:00:00,8.800,23.948,86.400,19,08BEAC0286DC
12.000,2019-09-01 19:00:00,7.889,24.343,85.222,19,08BEAC0286DE
11.000,2019-09-01 20:00:00,11.700,24.422,85.600,20,08BEAC0286DC
11.000,2019-09-01 20:00:00,10.600,24.923,83.900,20,08BEAC0286DE
9.000,2019-09-01 21:00:00,13.200,24.698,84.500,21,08BEAC0286DC
9.000,2019-09-01 21:00:00,11.800,25.223,82.600,21,08BEAC0286DE
18.000,2019-09-01 22:00:00,15.100,25.172,83.700,22,08BEAC0286DC
18.000,2019-09-01 22:00:00,13.800,25.622,82.200,22,08BEAC0286DE
12.000,2019-09-01 23:00:00,15.900,24.673,83.800,23,08BEAC0286DC
12.000,2019-09-01 23:00:00,14.800,25.110,82.600,23,08BEAC0286DE
13.000,2019-09-02 00:00:00,8.889,24.124,83.889,0,08BEAC0286DC
13.000,2019-09-02 00:00:00,7.889,24.608,82.111,0,08BEAC0286DE
6.000,2019-09-02 01:00:00,8.000,24.185,83.400,1,08BEAC0286DC
6.000,2019-09-02 01:00:00,7.000,24.710,82.000,1,08BEAC0286DE
5.000,2019-09-02 02:00:00,9.500,24.136,85.200,2,08BEAC0286DC
5.000,2019-09-02 02:00:00,8.600,24.573,83.600,2,08BEAC0286DE
2.000,2019-09-02 03:00:00,10.100,23.886,85.400,3,08BEAC0286DC
2.000,2019-09-02 03:00:00,9.000,24.334,83.900,3,08BEAC0286DE
5.000,2019-09-02 06:00:00,13.333,25.469,78.111,6,08BEAC0286DC
5.000,2019-09-02 06:00:00,12.556,24.831,81.556,6,08BEAC0286DE
6.000,2019-09-02 07:00:00,15.200,29.619,67.300,7,08BEAC0286DC
6.000,2019-09-02 07:00:00,14.700,28.235,71.900,7,08BEAC0286DE
16.000,2019-09-02 08:00:00,8.600,34.344,49.400,8,08BEAC0286DC
16.000,2019-09-02 08:00:00,8.400,31.933,58.700,8,08BEAC0286DE
16.000,2019-09-02 09:00:00,12.400,34.030,50.100,9,08BEAC0286DC
16.000,2019-09-02 09:00:00,12.200,32.358,55.100,9,08BEAC0286DE
13.000,2019-09-02 10:00:00,10.500,34.344,48.000,10,08BEAC0286DC
13.000,2019-09-02 10:00:00,9.800,33.044,51.100,10,08BEAC0286DE
6.000,2019-09-02 11:00:00,13.000,34.616,47.300,11,08BEAC0286DC
