EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
12.000,2019-09-01 08:00:00,7.316,34.776,49.158,8
14.000,2019-09-01 09:00:00,7.778,37.024,43.833,9
12.000,2019-09-01 10:00:00,9.200,38.080,40.950,10
34.000,2019-09-01 11:00:00,15.950,34.115,49.400,11
20.000,2019-09-01 12:00:00,32.167,33.936,53.167,12
30.000,2019-09-01 13:00:00,38.368,33.131,56.421,13
16.000,2019-09-01 14:00:00,42.900,33.976,55.950,14
27.000,2019-09-01 15:00:00,10.842,31.467,58.158,15
40.000,2019-09-01 16:00:00,45.632,29.407,68.526,16
46.000,2019-09-01 17:00:00,30.684,26.583,74.579,17
46.000,2019-09-01 18:00:00,57.737,27.182,76.684,18
33.000,2019-09-01 19:00:00,31.850,27.086,73.100,19
43.000,2019-09-01 20:00:00,30.211,26.951,73.105,20
33.000,2019-09-01 21:00:00,10.412,27.336,70.647,21
23.000,2019-09-01 22:00:00,4.450,27.492,68.800,22
3.000,2019-09-01 23:00:00,9.150,27.092,69.850,23
4.000,2019-09-02 00:00:00,29.650,26.060,76.100,0
8.000,2019-09-02 01:00:00,42.158,25.503,79.684,1
4.000,2019-09-02 02:00:00,38.368,25.662,78.579,2
14.000,2019-09-02 03:00:00,36.600,25.630,77.900,3
13.000,2019-09-02 04:00:00,35.684,25.531,78.579,4
23.000,2019-09-02 05:00:00,30.684,25.479,78.000,5
20.000,2019-09-02 06:00:00,37.500,26.965,75.050,6
18.000,2019-09-02 07:00:00,32.250,29.523,66.250,7
16.000,2019-09-02 08:00:00,27.263,31.074,61.158,8
21.000,2019-09-02 09:00:00,15.444,32.453,55.000,9
35.000,2019-09-02 10:00:00,11.550,34.825,49.500,10
27.000,2019-09-02 11:00:00,8.421,34.907,48.263,11
18.000,2019-09-02 12:00:00,21.263,34.080,52.368,12
15.000,2019-09-02 13:00:00,18.700,35.242,50.900,13
33.000,2019-09-02 14:00:00,14.632,35.624,50.158,14
25.000,2019-09-02 16:00:00,13.350,33.336,55.900,16
14.000,2019-09-02 17:00:00,11.250,32.651,57.300,17
10.000,2019-09-02 18:00:00,7.471,29.890,61.176,18
10.000,2019-09-02 19:00:00,7.053,29.073,63.684,19
14.000,2019-09-02 20:00:00,7.350,28.594,64.950,20
2.000,2019-09-02 22:00:00,6.250,27.944,66.200,22
6.000,2019-09-03 00:00:00,3.158,27.372,66.053,0
6.000,2019-09-03 01:00:00,5.000,27.203,66.000,1
13.000,2019-09-03 02:00:00,17.789,26.964,68.895,2
13.000,2019-09-03 03:00:00,19.850,26.830,71.550,3
23.000,2019-09-03 04:00:00,7.400,26.354,71.000,4
8.000,2019-09-03 05:00:00,3.737,25.945,72.158,5
11.000,2019-09-03 06:00:00,2.450,27.284,67.950,6
2.000,2019-09-03 07:00:00,2.556,28.789,63.444,7
12.000,2019-09-03 08:00:00,2.474,30.314,58.263,8
30.000,2019-09-03 09:00:00,2.800,31.064,56.300,9
29.000,2019-09-03 10:00:00,1.700,31.658,53.850,10
21.000,2019-09-03 11:00:00,1.100,32.128,52.100,11
3.000,2019-09-03 14:00:00,1.100,32.955,49.300,14
11.000,2019-09-03 15:00:00,1.150,32.112,51.400,15
16.000,2019-09-03 16:00:00,0.750,30.854,54.300,16
11.000,2019-09-03 17:00:00,0.850,28.738,61.200,17
5.000,2019-09-03 18:00:00,0.895,27.793,63.895,18
12.000,2019-09-03 20:00:00,2.000,27.324,66.444,20
10.000,2019-09-03 21:00:00,2.600,27.166,67.650,21
11.000,2019-09-03 22:00:00,2.400,26.748,69.900,22
3.000,2019-09-03 23:00:00,2.000,26.326,73.105,23
9.000,2019-09-04 00:00:00,2.684,26.137,74.579,0
9.000,2019-09-04 01:00:00,4.400,25.918,76.400,1
14.000,2019-09-04 02:00:00,2.000,25.827,75.526,2
21.000,2019-09-04 04:00:00,3.950,25.740,77.750,4
12.000,2019-09-04 05:00:00,1.900,25.460,76.050,5
16.000,2019-09-04 06:00:00,2.900,26.418,73.750,6
11.000,2019-09-04 07:00:00,3.706,27.488,70.294,7
11.000,2019-09-04 08:00:00,1.789,30.165,64.105,8
5.000,2019-09-04 09:00:00,5.474,30.406,62.158,9
8.000,2019-09-04 10:00:00,9.389,25.656,80.444,10
29.000,2019-09-04 12:00:00,6.944,27.926,72.667,12
18.000,2019-09-04 13:00:00,4.750,29.325,68.300,13
17.000,2019-09-04 14:00:00,1.895,25.964,79.789,14
11.000,2019-09-04 18:00:00,11.667,25.038,86.278,18
24.000,2019-09-04 19:00:00,9.400,24.515,87.650,19
24.000,2019-09-04 20:00:00,7.579,24.339,87.000,20
17.000,2019-09-04 22:00:00,4.526,24.134,87.684,22
17.000,2019-09-04 23:00:00,7.579,24.128,88.263,23
12.000,2019-09-05 00:00:00,10.667,24.325,87.444,0
2.000,2019-09-05 01:00:00,9.000,24.129,88.500,1
2.000,2019-09-05 02:00:00,5.800,24.217,88.500,2
2.000,2019-09-05 03:00:00,5.800,24.391,88.000,3
7.000,2019-09-05 04:00:00,18.895,24.195,89.421,4
7.000,2019-09-05 05:00:00,8.053,23.413,91.789,5
9.000,2019-09-05 06:00:00,9.579,24.333,88.263,6
6.000,2019-09-05 08:00:00,4.600,28.609,70.500,8
13.000,2019-09-05 09:00:00,7.000,26.580,81.450,9
13.000,2019-09-05 10:00:00,4.263,24.314,92.368,10
