EPA_PM2.5,time_hourly,PM2.5,Temperature,Humidity,HR
4.000,2019-09-01 08:00:00,0.105,31.770,52.895,8
3.000,2019-09-01 09:00:00,0.800,33.205,50.800,9
3.000,2019-09-01 11:00:00,0.158,32.732,52.000,11
2.000,2019-09-01 12:00:00,0.105,33.343,50.158,12
2.000,2019-09-01 13:00:00,0.450,34.393,48.400,13
3.000,2019-09-01 14:00:00,1.350,33.579,50.400,14
6.000,2019-09-01 15:00:00,1.111,31.584,55.278,15
11.000,2019-09-01 16:00:00,1.450,29.704,61.000,16
12.000,2019-09-01 17:00:00,1.947,29.032,63.737,17
7.000,2019-09-01 18:00:00,2.368,28.631,65.105,18
3.000,2019-09-01 21:00:00,1.200,28.244,66.500,21
5.000,2019-09-01 22:00:00,0.850,28.261,64.950,22
3.000,2019-09-01 23:00:00,1.789,28.099,66.737,23
2.000,2019-09-02 00:00:00,1.842,28.032,67.105,0
6.000,2019-09-02 02:00:00,40.800,27.061,72.450,2
9.000,2019-09-02 03:00:00,37.526,26.674,73.632,3
10.000,2019-09-02 04:00:00,34.632,26.879,73.105,4
11.000,2019-09-02 05:00:00,25.750,26.766,74.100,5
11.000,2019-09-02 06:00:00,8.100,28.350,67.150,6
10.000,2019-09-02 07:00:00,6.947,31.216,59.053,7
2.000,2019-09-02 09:00:00,3.550,33.410,51.250,9
7.000,2019-09-02 10:00:00,1.947,33.309,50.421,10
8.000,2019-09-02 11:00:00,1.900,33.497,50.450,11
6.000,2019-09-02 12:00:00,1.950,33.872,49.650,12
3.000,2019-09-02 13:00:00,1.350,34.566,47.850,13
6.000,2019-09-02 14:00:00,2.211,33.539,49.842,14
3.000,2019-09-02 15:00:00,2.526,33.526,50.368,15
10.000,2019-09-02 16:00:00,3.350,31.780,55.250,16
9.000,2019-09-02 17:00:00,3.500,30.340,60.300,17
12.000,2019-09-02 18:00:00,3.900,28.919,64.850,18
4.000,2019-09-02 19:00:00,2.650,28.471,65.050,19
6.000,2019-09-02 20:00:00,1.789,28.314,64.316,20
3.000,2019-09-02 21:00:00,1.000,28.351,63.333,21
8.000,2019-09-02 22:00:00,0.950,28.218,63.700,22
6.000,2019-09-03 00:00:00,1.000,28.013,64.400,0
9.000,2019-09-03 01:00:00,1.000,27.798,65.150,1
9.000,2019-09-03 02:00:00,1.053,27.570,66.263,2
13.000,2019-09-03 03:00:00,1.350,27.310,67.500,3
7.000,2019-09-03 04:00:00,1.895,27.011,68.842,4
11.000,2019-09-03 05:00:00,1.900,26.442,71.850,5
4.000,2019-09-03 10:00:00,1.000,31.513,54.056,10
4.000,2019-09-03 12:00:00,0.947,31.992,53.053,12
5.000,2019-09-03 13:00:00,0.900,31.801,52.750,13
6.000,2019-09-03 14:00:00,1.421,31.723,53.158,14
4.000,2019-09-03 15:00:00,1.526,31.201,55.842,15
4.000,2019-09-03 16:00:00,0.737,30.001,58.947,16
7.000,2019-09-03 17:00:00,0.474,28.998,62.211,17
4.000,2019-09-03 18:00:00,1.300,27.723,66.800,18
7.000,2019-09-03 19:00:00,1.450,27.492,68.100,19
5.000,2019-09-03 20:00:00,1.105,27.241,69.316,20
7.000,2019-09-03 21:00:00,1.053,26.971,70.895,21
3.000,2019-09-03 22:00:00,0.950,26.616,73.200,22
2.000,2019-09-04 02:00:00,1.105,25.662,80.474,2
4.000,2019-09-04 04:00:00,0.789,25.135,81.737,4
8.000,2019-09-04 07:00:00,1.650,25.910,82.100,7
7.000,2019-09-04 08:00:00,3.053,29.133,70.526,8
7.000,2019-09-04 09:00:00,5.750,26.147,81.800,9
3.000,2019-09-04 10:00:00,2.158,25.853,82.789,10
4.000,2019-09-04 12:00:00,5.050,27.453,77.050,12
3.000,2019-09-04 14:00:00,2.421,25.577,86.684,14
2.000,2019-09-04 15:00:00,2.000,23.824,94.100,15
5.000,2019-09-04 18:00:00,5.150,24.848,87.100,18
3.000,2019-09-04 19:00:00,2.600,24.642,85.900,19
6.000,2019-09-04 20:00:00,3.579,24.399,87.316,20
2.000,2019-09-04 23:00:00,4.895,24.353,89.684,23
2.000,2019-09-05 01:00:00,3.300,24.372,90.250,1
6.000,2019-09-05 07:00:00,1.789,27.199,75.737,7
3.000,2019-09-05 08:00:00,7.632,26.163,81.421,8
2.000,2019-09-05 11:00:00,5.053,26.162,86.895,11
2.000,2019-09-05 13:00:00,12.053,25.136,87.947,13
8.000,2019-09-05 14:00:00,3.438,24.216,93.125,14
3.000,2019-09-05 16:00:00,2.474,25.682,87.474,16
6.000,2019-09-05 17:00:00,2.526,26.405,82.316,17
7.000,2019-09-05 18:00:00,3.250,26.028,82.450,18
9.000,2019-09-05 19:00:00,6.526,25.477,85.474,19
5.000,2019-09-05 20:00:00,9.450,25.247,87.050,20
2.000,2019-09-05 23:00:00,9.789,23.571,96.684,23
6.000,2019-09-06 00:00:00,7.263,23.695,97.158,0
3.000,2019-09-06 01:00:00,10.100,23.821,96.950,1
12.000,2019-09-06 03:00:00,8.600,23.835,97.650,3
13.000,2019-09-06 04:00:00,3.842,23.649,97.474,4
7.000,2019-09-06 05:00:00,2.450,23.517,96.700,5
4.000,2019-09-06 06:00:00,4.316,23.925,93.632,6
6.000,2019-09-06 08:00:00,6.350,27.744,79.100,8
7.000,2019-09-06 09:00:00,13.500,29.901,70.000,9
11.000,2019-09-06 10:00:00,15.400,31.029,63.900,10
10.000,2019-09-06 11:00:00,16.421,32.229,61.211,11
9.000,2019-09-06 12:00:00,16.053,31.132,63.842,12
11.000,2019-09-06 13:00:00,10.350,32.464,58.550,13
15.000,2019-09-06 14:00:00,7.050,33.767,53.850,14
19.000,2019-09-06 15:00:00,4.900,32.761,53.800,15
17.000,2019-09-06 16:00:00,4.300,34.061,50.450,16
16.000,2019-09-06 17:00:00,3.056,31.926,52.556,17
16.000,2019-09-06 18:00:00,4.895,28.352,65.158,18
14.000,2019-09-06 19:00:00,8.150,27.879,68.900,19
10.000,2019-09-06 20:00:00,12.800,27.698,71.400,20
5.000,2019-09-06 21:00:00,13.100,27.555,71.550,21
7.000,2019-09-06 23:00:00,13.889,27.399,72.556,23
5.000,2019-09-07 00:00:00,14.350,27.160,73.850,0
5.000,2019-09-07 01:00:00,15.684,26.794,76.158,1
4.000,2019-09-07 02:00:00,24.250,26.517,78.700,2
5.000,2019-09-07 03:00:00,29.450,26.506,78.650,3
12.000,2019-09-07 04:00:00,17.167,26.143,79.000,4
13.000,2019-09-07 06:00:00,13.947,26.517,76.053,6
10.000,2019-09-07 08:00:00,24.100,31.879,60.550,8
6.000,2019-09-07 09:00:00,26.722,33.518,55.611,9
14.000,2019-09-07 11:00:00,33.000,33.169,56.300,11
24.000,2019-09-07 12:00:00,31.350,33.094,56.250,12
23.000,2019-09-07 13:00:00,24.444,33.708,52.056,13
20.000,2019-09-07 14:00:00,22.150,34.671,50.850,14
14.000,2019-09-07 16:00:00,26.050,28.208,69.300,16
14.000,2019-09-07 17:00:00,30.263,29.007,67.579,17
18.000,2019-09-07 18:00:00,30.789,28.111,69.895,18
18.000,2019-09-07 19:00:00,28.800,27.567,71.750,19
15.000,2019-09-07 20:00:00,26.100,27.060,73.850,20
17.000,2019-09-07 21:00:00,34.316,26.576,79.421,21
19.000,2019-09-07 22:00:00,30.579,26.110,79.579,22
17.000,2019-09-07 23:00:00,27.300,25.554,78.850,23
7.000,2019-09-08 00:00:00,24.050,25.223,77.150,0
8.000,2019-09-08 02:00:00,23.105,24.958,76.842,2
11.000,2019-09-08 03:00:00,21.650,24.586,77.700,3
5.000,2019-09-08 04:00:00,22.300,24.516,78.750,4
4.000,2019-09-08 05:00:00,23.000,24.698,79.050,5
2.000,2019-09-08 07:00:00,27.789,26.123,75.947,7
11.000,2019-09-08 08:00:00,30.700,27.948,70.850,8
18.000,2019-09-08 09:00:00,35.100,30.637,62.900,9
25.000,2019-09-08 10:00:00,36.833,30.030,65.833,10
19.000,2019-09-08 11:00:00,29.050,31.779,61.950,11
20.000,2019-09-08 12:00:00,21.900,32.837,57.750,12
18.000,2019-09-08 13:00:00,21.000,32.663,57.550,13
14.000,2019-09-08 14:00:00,19.421,33.270,53.368,14
9.000,2019-09-08 15:00:00,21.895,30.558,59.632,15
12.000,2019-09-08 16:00:00,15.947,29.086,61.053,16
10.000,2019-09-08 17:00:00,15.850,28.419,61.500,17
14.000,2019-09-08 18:00:00,18.050,26.585,68.400,18
8.000,2019-09-08 19:00:00,22.421,26.096,73.842,19
10.000,2019-09-08 20:00:00,19.200,25.780,73.750,20
12.000,2019-09-08 21:00:00,19.000,25.767,72.421,21
15.000,2019-09-08 22:00:00,22.200,25.517,73.750,22
15.000,2019-09-08 23:00:00,21.850,24.723,77.500,23
12.000,2019-09-09 00:00:00,22.158,24.201,79.211,0
8.000,2019-09-09 01:00:00,16.737,23.721,77.737,1
10.000,2019-09-09 02:00:00,17.550,23.460,76.150,2
6.000,2019-09-09 03:00:00,19.000,23.304,74.500,3
3.000,2019-09-09 04:00:00,19.000,22.977,75.105,4
4.000,2019-09-09 05:00:00,20.200,22.897,74.950,5
13.000,2019-09-09 06:00:00,21.895,23.912,72.421,6
13.000,2019-09-09 07:00:00,19.700,27.434,61.250,7
19.000,2019-09-09 08:00:00,22.900,30.051,54.500,8
9.000,2019-09-09 09:00:00,29.632,32.428,50.842,9
15.000,2019-09-09 10:00:00,34.632,34.744,46.684,10
12.000,2019-09-09 11:00:00,40.550,35.400,46.600,11
22.000,2019-09-09 12:00:00,41.105,33.637,52.316,12
26.000,2019-09-09 13:00:00,36.800,33.833,51.200,13
27.000,2019-09-09 14:00:00,30.684,34.324,48.895,14
30.000,2019-09-09 15:00:00,32.200,32.579,52.450,15
22.000,2019-09-09 16:00:00,30.158,30.757,55.842,16
23.000,2019-09-09 17:00:00,26.300,29.619,57.850,17
15.000,2019-09-09 18:00:00,21.000,28.761,61.263,18
10.000,2019-09-09 20:00:00,18.579,27.614,63.368,20
11.000,2019-09-09 21:00:00,18.450,27.261,65.550,21
11.000,2019-09-09 22:00:00,21.050,27.042,67.250,22
5.000,2019-09-10 00:00:00,13.500,26.960,65.250,0
2.000,2019-09-10 01:00:00,13.150,26.842,64.550,1
8.000,2019-09-10 02:00:00,22.526,26.162,66.947,2
9.000,2019-09-10 03:00:00,26.050,25.805,67.500,3
12.000,2019-09-10 04:00:00,25.000,25.419,69.000,4
9.000,2019-09-10 05:00:00,23.600,24.942,71.300,5
8.000,2019-09-10 06:00:00,20.895,25.722,70.053,6
6.000,2019-09-10 07:00:00,18.150,28.218,62.500,7
7.000,2019-09-10 08:00:00,23.000,31.708,54.105,8
13.000,2019-09-10 09:00:00,28.950,34.180,48.050,9
14.000,2019-09-10 11:00:00,19.550,35.109,44.000,11
13.000,2019-09-10 12:00:00,8.900,34.662,44.000,12
7.000,2019-09-10 13:00:00,8.842,33.535,46.368,13
8.000,2019-09-10 14:00:00,6.250,33.730,46.750,14
8.000,2019-09-10 16:00:00,1.722,32.271,50.611,16
11.000,2019-09-10 17:00:00,2.800,30.261,57.100,17
4.000,2019-09-10 18:00:00,5.400,28.677,63.300,18
14.000,2019-09-10 19:00:00,4.263,27.944,66.368,19
4.000,2019-09-10 20:00:00,4.200,27.728,67.800,20
9.000,2019-09-10 21:00:00,6.150,27.292,72.350,21
4.000,2019-09-10 22:00:00,6.421,27.352,71.947,22
7.000,2019-09-10 23:00:00,4.050,27.598,68.050,23
6.000,2019-09-11 00:00:00,4.750,27.354,70.750,0
7.000,2019-09-11 01:00:00,5.000,27.076,73.105,1
4.000,2019-09-11 02:00:00,3.950,26.703,74.550,2
5.000,2019-09-11 05:00:00,5.421,26.642,74.368,5
8.000,2019-09-11 06:00:00,5.950,27.707,70.350,6
10.000,2019-09-11 07:00:00,6.789,29.504,64.053,7
2.000,2019-09-11 08:00:00,6.300,31.714,57.300,8
4.000,2019-09-11 09:00:00,5.650,32.507,53.000,9
4.000,2019-09-11 10:00:00,3.500,33.501,48.150,10
11.000,2019-09-11 11:00:00,2.632,34.972,46.105,11
14.000,2019-09-11 12:00:00,2.450,35.273,45.800,12
13.000,2019-09-11 13:00:00,5.100,35.633,45.550,13
12.000,2019-09-11 14:00:00,8.389,32.938,54.111,14
9.000,2019-09-11 15:00:00,5.750,31.662,54.900,15
12.000,2019-09-11 16:00:00,1.700,31.405,54.800,16
